Geography,Gender,HasCrCard,IsActiveMember,EstimatedSalary,Exited
France,Male,NO,YES,73322.0,NO
Spain,Male,NO,NO,113677.53,YES
France,Male,NO,NO,124607.7,NO
Germany,Male,YES,YES,11276.48,NO
France,Female,YES,NO,136620.64,NO
France,Female,YES,YES,70523.92,NO
France,Male,YES,NO,51980.25,YES
Spain,Male,YES,NO,113481.02,NO
Germany,Male,YES,YES,49025.79,NO
France,Male,YES,YES,145937.99,NO
France,Female,YES,YES,25161.61,NO
Germany,Male,YES,NO,175753.55,YES
France,Male,YES,YES,24903.09,NO
France,Female,YES,YES,169719.35,YES
France,Male,YES,YES,179565.57,NO
Spain,Female,NO,NO,115337.74,YES
France,Female,NO,NO,48131.92,NO
France,Male,YES,YES,160828.98,NO
Spain,Male,NO,YES,145151.96,NO
France,Male,YES,YES,196293.76,NO
France,Female,YES,NO,161653.5,YES
France,Male,NO,NO,84635.64,NO
France,Male,YES,NO,159486.76,NO
Germany,Male,YES,YES,38596.34,NO
Germany,Male,YES,YES,27814.74,NO
Germany,Male,YES,YES,183893.31,NO
Germany,Female,YES,YES,140803.7,NO
France,Male,NO,YES,146585.53,NO
France,Male,YES,YES,40062.29,NO
France,Male,YES,YES,181300.32,NO
Germany,Female,YES,YES,84136.12,NO
France,Male,YES,YES,197594.34,NO
Germany,Female,YES,NO,125953.83,YES
France,Female,YES,YES,75465.41,NO
Germany,Male,YES,NO,177737.07,NO
Germany,Female,YES,YES,7144.46,NO
France,Male,NO,NO,155639.76,NO
France,Female,YES,YES,162428.05,NO
Spain,Male,YES,YES,12457.76,YES
France,Male,NO,NO,14917.09,NO
Germany,Female,YES,NO,182184.09,YES
Spain,Female,YES,YES,129984.2,NO
Germany,Male,NO,YES,194872.97,NO
Spain,Male,YES,YES,117507.11,NO
Germany,Female,YES,YES,157527.6,YES
France,Male,NO,NO,92612.88,NO
France,Female,NO,NO,74850.84,NO
Germany,Female,NO,YES,127413.0,NO
France,Male,NO,NO,69584.3,YES
Germany,Female,YES,NO,198814.24,YES
France,Male,YES,NO,162643.15,YES
Germany,Male,YES,NO,114092.52,NO
Spain,Male,YES,NO,68860.3,YES
Germany,Male,YES,YES,16150.34,NO
Spain,Female,YES,YES,115227.02,NO
France,Female,NO,YES,170621.55,NO
Germany,Male,YES,NO,103099.22,NO
France,Male,NO,NO,172495.81,YES
France,Female,NO,YES,38772.82,NO
France,Female,YES,YES,44946.29,NO
Germany,Male,NO,YES,146007.7,NO
Germany,Male,YES,NO,145558.42,NO
France,Male,YES,NO,193312.33,NO
France,Male,YES,NO,40257.79,NO
Spain,Male,YES,YES,46677.9,NO
France,Male,YES,YES,153887.93,YES
Germany,Female,YES,YES,103108.33,NO
France,Female,YES,YES,58652.23,NO
France,Female,YES,NO,91624.11,YES
Spain,Male,YES,NO,65986.48,YES
France,Male,YES,NO,113845.19,NO
France,Male,YES,YES,67607.9,NO
France,Female,YES,YES,145471.94,NO
France,Female,YES,YES,124071.71,NO
Spain,Female,YES,YES,67502.12,NO
France,Male,YES,YES,78707.97,NO
France,Female,YES,NO,171189.83,YES
Germany,Female,YES,NO,149381.32,NO
Germany,Male,YES,NO,100335.55,NO
France,Male,YES,NO,152698.24,NO
Spain,Female,YES,YES,41192.95,NO
France,Male,YES,NO,132540.33,NO
France,Female,YES,NO,96875.52,NO
France,Female,YES,YES,152305.47,NO
Spain,Female,YES,YES,49672.01,NO
Spain,Female,YES,NO,133997.53,NO
Germany,Female,NO,YES,50454.8,NO
France,Male,YES,YES,16402.11,NO
France,Male,YES,YES,67803.83,NO
France,Female,YES,NO,9241.78,NO
France,Male,NO,YES,100601.73,NO
Spain,Male,NO,NO,98734.15,NO
Germany,Male,YES,YES,160574.09,NO
Spain,Male,NO,YES,26015.8,NO
France,Female,NO,NO,187172.54,NO
France,Male,YES,YES,55763.66,NO
Spain,Male,YES,NO,75848.22,NO
France,Male,NO,NO,40313.47,NO
Spain,Male,YES,YES,23864.21,NO
France,Male,YES,YES,51380.9,NO
Germany,Female,NO,YES,93551.36,NO
Spain,Female,NO,NO,169415.54,NO
Germany,Female,YES,YES,6935.31,NO
Spain,Male,YES,NO,25399.7,NO
France,Male,YES,NO,66256.27,NO
Spain,Male,YES,YES,114709.13,YES
Germany,Male,YES,YES,158357.97,NO
France,Male,NO,YES,164815.59,NO
Germany,Male,YES,NO,132127.69,YES
Germany,Male,YES,NO,146637.45,NO
Spain,Male,YES,NO,90256.06,YES
France,Female,YES,YES,34827.43,NO
France,Male,NO,NO,22074.48,NO
France,Female,NO,YES,109805.17,NO
France,Female,YES,NO,100478.6,YES
France,Male,YES,YES,97416.34,NO
France,Male,YES,YES,24207.86,YES
France,Male,NO,NO,69132.66,NO
Spain,Female,YES,YES,9376.89,NO
Germany,Female,YES,NO,43046.7,YES
Spain,Male,NO,YES,20856.31,NO
France,Male,NO,NO,187048.72,NO
Spain,Male,YES,NO,53420.53,NO
France,Male,YES,NO,37013.29,NO
France,Female,YES,NO,89566.64,NO
Germany,Male,NO,NO,149913.84,NO
France,Female,YES,NO,18066.69,NO
Germany,Male,YES,YES,26912.34,NO
France,Male,YES,YES,173511.72,NO
France,Female,YES,YES,146785.44,NO
Spain,Female,NO,YES,1050.33,NO
Spain,Male,YES,NO,89587.34,YES
France,Male,YES,NO,74405.34,NO
France,Female,NO,YES,54409.48,NO
Spain,Male,YES,NO,3647.57,NO
Spain,Male,YES,NO,198874.52,YES
Germany,Female,YES,YES,53412.54,NO
Germany,Male,YES,NO,194867.78,NO
Spain,Female,YES,NO,150452.88,NO
Spain,Female,YES,YES,57807.05,NO
Spain,Male,YES,YES,107534.32,NO
Spain,Female,YES,NO,194073.33,NO
Germany,Female,YES,NO,126233.18,YES
Germany,Female,YES,NO,182354.46,YES
Germany,Female,YES,YES,120586.32,NO
France,Male,YES,YES,50578.4,NO
France,Female,YES,YES,86575.46,NO
France,Female,NO,YES,153392.28,NO
Spain,Male,YES,NO,115509.59,NO
France,Female,YES,NO,82176.48,NO
Germany,Female,YES,NO,63717.49,NO
Germany,Male,YES,YES,198745.94,NO
France,Female,NO,YES,5719.11,NO
Spain,Male,NO,NO,20058.61,NO
Germany,Female,YES,NO,170638.98,NO
France,Male,YES,NO,30607.11,NO
France,Male,NO,NO,37171.46,NO
France,Male,YES,YES,42589.33,NO
Germany,Male,YES,YES,66799.28,NO
France,Female,NO,YES,101866.39,NO
Germany,Female,YES,NO,49284.0,NO
France,Male,YES,NO,27445.4,YES
France,Female,YES,NO,70760.69,NO
Spain,Female,NO,YES,104502.02,YES
France,Male,YES,YES,165407.96,NO
France,Female,YES,YES,113580.79,NO
France,Female,YES,YES,45978.39,NO
France,Female,YES,YES,152012.36,NO
Germany,Male,NO,YES,77349.92,NO
Spain,Male,YES,NO,47322.05,NO
France,Female,YES,YES,38772.65,NO
France,Male,YES,YES,24489.44,NO
Germany,Male,YES,YES,14466.08,NO
France,Male,NO,NO,63142.12,NO
France,Female,YES,NO,41858.43,NO
Germany,Male,YES,YES,127443.82,YES
France,Female,YES,YES,84151.98,NO
France,Male,NO,NO,58595.64,NO
Germany,Female,YES,NO,37240.11,YES
France,Male,YES,NO,114522.68,YES
France,Male,YES,YES,72549.27,YES
Germany,Female,YES,NO,176712.59,YES
Spain,Female,NO,NO,152855.96,NO
France,Female,YES,YES,73371.65,NO
Germany,Female,YES,YES,70323.68,NO
Spain,Male,NO,NO,9663.28,NO
Germany,Male,YES,YES,142514.66,NO
Germany,Female,YES,NO,118623.94,NO
France,Female,YES,YES,68400.14,NO
France,Male,YES,YES,115291.86,NO
France,Male,YES,YES,170382.99,NO
Germany,Female,YES,NO,112946.67,YES
Germany,Male,YES,YES,79812.77,NO
Germany,Male,YES,NO,19862.78,NO
Germany,Female,YES,NO,158610.89,NO
France,Female,YES,NO,191212.63,YES
Spain,Male,YES,NO,61931.21,NO
France,Male,YES,YES,58043.02,YES
Spain,Male,YES,NO,22247.27,NO
France,Male,YES,YES,31448.52,NO
Spain,Male,YES,NO,146875.86,NO
France,Male,YES,YES,116081.93,NO
France,Female,NO,YES,73669.94,YES
Spain,Female,YES,YES,93959.96,NO
Spain,Female,NO,YES,158918.03,NO
France,Female,YES,YES,198193.75,NO
France,Female,NO,NO,13160.03,NO
France,Male,YES,NO,4660.91,NO
Germany,Male,NO,NO,180197.74,YES
France,Male,YES,YES,63023.02,NO
France,Male,NO,YES,118971.74,NO
France,Female,NO,NO,154700.61,NO
Spain,Male,YES,YES,97577.17,NO
Spain,Female,YES,YES,48990.5,NO
Germany,Male,YES,YES,140262.96,YES
France,Male,YES,NO,130189.53,NO
France,Female,YES,YES,16301.91,NO
France,Female,YES,NO,126962.41,NO
France,Female,YES,YES,158750.53,NO
France,Male,YES,NO,199644.2,NO
France,Female,YES,YES,144272.71,YES
France,Male,NO,YES,98320.27,NO
France,Male,YES,NO,64129.03,NO
Germany,Female,YES,NO,181221.09,NO
Spain,Male,YES,YES,163809.08,NO
France,Male,YES,YES,171457.06,YES
France,Female,NO,YES,15801.02,NO
France,Male,NO,NO,102950.79,NO
Germany,Male,YES,NO,174918.46,NO
France,Male,YES,NO,193160.25,YES
Germany,Female,NO,NO,5831.0,YES
Spain,Female,YES,YES,82298.59,NO
France,Male,NO,NO,130686.59,NO
France,Male,NO,YES,52885.23,YES
Spain,Male,YES,NO,68985.99,NO
Spain,Male,YES,NO,35367.19,NO
France,Female,YES,YES,196241.94,YES
Germany,Male,YES,YES,170705.53,NO
France,Male,YES,YES,126477.41,NO
France,Male,YES,YES,159618.17,NO
Spain,Female,YES,NO,195395.33,YES
France,Female,NO,YES,168285.85,NO
France,Male,YES,YES,138052.51,NO
Spain,Female,YES,NO,71179.31,NO
Germany,Male,YES,NO,55556.3,NO
Spain,Female,YES,NO,31705.19,NO
Germany,Male,YES,YES,186118.93,NO
France,Male,YES,YES,195580.28,NO
France,Male,YES,NO,54113.38,NO
Germany,Male,YES,NO,127528.84,NO
Germany,Female,NO,NO,60231.74,YES
France,Male,YES,NO,156878.42,YES
Spain,Female,YES,NO,182784.11,YES
Germany,Male,NO,NO,129690.5,NO
France,Male,YES,NO,113860.81,NO
France,Female,NO,YES,184524.74,NO
Spain,Female,YES,YES,36124.98,NO
France,Female,NO,YES,121316.07,NO
France,Female,YES,NO,185630.76,NO
Spain,Female,YES,NO,71133.12,NO
France,Female,NO,YES,32020.42,NO
France,Male,YES,NO,162760.96,NO
France,Male,NO,YES,175178.56,NO
France,Female,NO,YES,177099.71,NO
Spain,Female,YES,YES,66406.37,NO
Germany,Female,NO,NO,59559.81,NO
France,Male,NO,YES,175750.21,NO
Germany,Male,YES,YES,174311.3,NO
France,Male,YES,NO,171716.81,NO
France,Female,YES,NO,189362.39,YES
France,Male,NO,YES,180716.1,YES
France,Male,NO,YES,116977.89,NO
France,Male,YES,YES,185105.44,NO
France,Male,YES,NO,35046.97,YES
Spain,Male,YES,NO,36251.0,NO
France,Female,YES,NO,103174.5,NO
France,Female,YES,NO,122642.09,NO
Spain,Male,YES,NO,122937.57,NO
Germany,Male,YES,NO,8757.39,NO
France,Male,NO,YES,125782.29,NO
Spain,Female,YES,NO,122487.73,NO
France,Female,YES,NO,20066.38,NO
France,Male,YES,YES,55473.15,NO
France,Female,NO,NO,38962.94,NO
France,Male,YES,YES,63795.8,NO
Spain,Female,YES,YES,163060.43,NO
France,Male,YES,NO,26578.69,NO
Germany,Male,NO,YES,5066.76,NO
France,Female,YES,YES,140497.67,NO
France,Male,NO,NO,146156.98,NO
France,Female,NO,NO,199316.19,NO
Germany,Female,YES,YES,103944.37,NO
Spain,Male,YES,NO,138021.36,NO
France,Male,NO,NO,68621.98,NO
France,Female,YES,YES,28149.06,NO
Spain,Female,YES,NO,135169.76,YES
France,Female,YES,YES,116537.96,NO
France,Male,YES,YES,105922.69,NO
Germany,Male,NO,NO,88211.12,YES
France,Male,YES,NO,26900.63,NO
France,Male,YES,YES,3494.02,NO
France,Male,YES,NO,113163.17,NO
Spain,Female,YES,YES,19324.5,NO
France,Male,YES,NO,189678.7,NO
France,Male,YES,YES,26387.71,NO
Germany,Female,NO,NO,106276.55,NO
France,Female,YES,NO,45015.38,NO
Spain,Male,YES,YES,173495.77,NO
Germany,Male,YES,YES,52581.96,NO
Germany,Female,NO,YES,146339.27,YES
Spain,Male,YES,YES,182609.97,NO
Spain,Female,YES,NO,197890.65,NO
France,Male,YES,YES,6225.63,NO
France,Female,YES,YES,123977.86,YES
France,Male,YES,YES,170195.4,NO
France,Male,YES,YES,114190.3,NO
France,Female,YES,NO,27022.57,NO
Spain,Male,NO,YES,59457.0,NO
France,Male,YES,NO,165038.41,NO
France,Male,YES,YES,154181.41,NO
France,Male,YES,NO,134960.98,NO
Spain,Female,YES,YES,65708.5,NO
France,Female,NO,NO,117374.22,NO
France,Female,YES,YES,77703.19,NO
Germany,Male,YES,YES,177651.38,NO
France,Female,YES,YES,60954.45,NO
France,Male,YES,YES,151924.9,NO
Spain,Male,YES,NO,26318.73,NO
France,Male,YES,YES,147557.71,NO
France,Female,YES,NO,125918.17,NO
Germany,Male,YES,NO,190803.37,NO
France,Female,YES,YES,11043.54,NO
France,Male,YES,YES,119100.05,YES
Spain,Male,YES,NO,140579.17,NO
France,Male,NO,YES,37731.95,NO
France,Female,YES,NO,1852.58,NO
Germany,Female,YES,YES,172049.84,NO
Germany,Female,YES,NO,133591.11,YES
France,Male,YES,YES,192751.18,NO
Germany,Female,YES,YES,193828.27,NO
Germany,Male,YES,NO,55775.72,NO
Spain,Female,YES,YES,102280.29,NO
Germany,Female,NO,NO,44965.44,NO
Spain,Male,YES,NO,170661.02,NO
France,Male,NO,NO,197145.89,NO
France,Female,YES,NO,192359.9,YES
France,Male,YES,NO,141210.18,YES
France,Female,YES,NO,100557.03,NO
France,Female,YES,NO,130805.54,YES
France,Female,YES,YES,92606.98,NO
France,Male,YES,YES,123956.83,NO
Germany,Male,YES,YES,102758.43,NO
France,Male,YES,NO,94876.65,NO
Spain,Female,NO,YES,94811.85,YES
France,Male,NO,YES,67840.81,NO
France,Female,NO,NO,4050.57,NO
Spain,Male,NO,YES,134665.25,NO
Germany,Female,NO,NO,181647.13,NO
France,Male,YES,NO,33282.84,NO
Germany,Male,NO,NO,27965.0,YES
Germany,Male,YES,NO,68343.53,NO
France,Female,YES,YES,198161.07,NO
Spain,Male,YES,YES,196858.4,NO
Germany,Male,YES,YES,120511.03,NO
Germany,Male,YES,NO,30886.35,NO
France,Female,YES,NO,2743.69,NO
France,Female,YES,NO,167778.62,NO
Germany,Male,YES,NO,132404.64,NO
France,Female,YES,YES,144423.17,YES
France,Female,YES,YES,181204.5,NO
Spain,Female,YES,YES,182726.22,YES
Spain,Female,YES,YES,120880.72,NO
Germany,Female,NO,NO,26812.89,YES
Germany,Female,YES,YES,66732.63,YES
Germany,Male,YES,NO,100834.22,NO
France,Female,YES,NO,107815.31,YES
France,Male,YES,YES,34665.79,NO
France,Female,YES,YES,147093.84,YES
France,Male,YES,YES,36942.35,NO
France,Female,YES,YES,16460.77,NO
Spain,Male,NO,NO,45610.63,NO
France,Male,YES,NO,184954.11,NO
Germany,Female,NO,NO,47795.43,YES
Spain,Female,YES,NO,196789.9,NO
Germany,Male,YES,NO,173425.68,NO
France,Male,YES,NO,36221.18,NO
France,Male,YES,NO,174738.2,NO
France,Male,YES,NO,67131.3,YES
Spain,Female,YES,YES,165692.03,NO
France,Male,YES,NO,194691.95,NO
Germany,Male,NO,NO,129525.5,YES
Spain,Female,NO,YES,146511.2,NO
Germany,Male,YES,YES,51752.18,NO
Spain,Female,YES,NO,35418.69,YES
Germany,Female,NO,YES,57995.74,NO
France,Male,YES,YES,108152.75,NO
France,Female,YES,NO,166144.98,NO
France,Male,YES,NO,101737.8,NO
France,Male,NO,YES,33326.71,NO
France,Male,YES,YES,81140.09,NO
France,Male,YES,NO,140173.17,YES
France,Male,YES,YES,166513.49,YES
France,Female,YES,YES,103232.6,NO
Spain,Male,YES,NO,120736.04,NO
Germany,Female,NO,NO,15832.43,YES
France,Female,NO,YES,188772.45,NO
Germany,Female,YES,NO,114323.66,NO
Spain,Male,NO,YES,181534.04,NO
Germany,Female,NO,NO,102640.52,YES
France,Female,YES,YES,158585.17,YES
Spain,Male,YES,NO,178722.24,NO
France,Female,YES,YES,153955.38,YES
Spain,Female,YES,NO,65374.86,NO
Germany,Female,NO,YES,102986.15,NO
France,Female,NO,NO,136643.84,NO
France,Female,YES,NO,77063.63,YES
France,Female,YES,YES,9633.01,NO
France,Male,NO,YES,43496.36,NO
Spain,Male,YES,YES,24267.28,NO
Germany,Female,YES,NO,59354.24,YES
Spain,Male,NO,NO,28269.86,NO
France,Female,YES,NO,143162.34,NO
France,Male,YES,NO,20199.3,NO
France,Male,YES,YES,48606.92,NO
Spain,Male,NO,YES,89013.67,NO
Spain,Male,NO,YES,59890.29,NO
Germany,Female,YES,YES,106655.88,YES
France,Female,YES,NO,156439.56,NO
France,Female,YES,NO,24176.44,NO
Germany,Male,NO,YES,43507.1,YES
France,Female,YES,YES,132005.85,YES
France,Female,YES,YES,80496.71,YES
Spain,Male,YES,NO,88947.56,NO
Germany,Female,NO,NO,12639.67,YES
France,Female,YES,YES,94248.16,YES
Germany,Male,NO,NO,11865.76,NO
France,Female,YES,NO,141449.86,NO
Spain,Male,YES,YES,149457.81,NO
France,Female,YES,NO,119814.25,YES
Germany,Male,YES,NO,24924.92,NO
France,Female,NO,YES,139481.53,NO
France,Female,YES,YES,41268.65,NO
France,Female,YES,YES,1351.41,NO
France,Female,YES,NO,147489.76,YES
Spain,Female,YES,NO,111175.09,NO
France,Female,YES,YES,95963.14,NO
France,Male,YES,NO,43128.95,NO
Germany,Male,YES,YES,137674.96,YES
Germany,Female,YES,YES,153383.54,YES
Germany,Female,YES,YES,96660.76,NO
Spain,Female,NO,YES,115818.16,NO
France,Female,YES,YES,37898.5,NO
France,Female,YES,NO,145222.93,NO
France,Female,YES,YES,41219.09,NO
France,Male,YES,NO,59249.83,NO
Spain,Male,YES,YES,116747.62,NO
France,Female,YES,NO,116249.72,YES
France,Female,YES,NO,61257.83,NO
Germany,Male,NO,NO,141798.98,NO
France,Male,YES,NO,102638.35,NO
Spain,Male,NO,NO,13210.56,NO
France,Male,YES,NO,35550.97,NO
France,Female,YES,YES,104469.06,YES
Spain,Male,YES,YES,142935.83,NO
France,Male,YES,NO,195486.28,NO
France,Female,YES,NO,63170.0,NO
France,Male,YES,YES,58320.06,NO
Germany,Male,NO,YES,177747.03,YES
France,Female,YES,NO,19632.64,YES
Germany,Male,YES,NO,18424.24,YES
Spain,Male,NO,YES,18897.78,NO
Germany,Male,YES,NO,97879.02,NO
France,Male,YES,YES,63197.88,NO
Spain,Female,YES,YES,75860.01,NO
Germany,Female,NO,NO,78622.46,NO
France,Male,YES,YES,23598.23,YES
Spain,Male,YES,YES,13460.27,NO
France,Male,YES,NO,19998.31,NO
France,Female,NO,NO,185075.63,NO
Germany,Male,NO,YES,135815.38,NO
Spain,Female,YES,YES,44251.33,NO
France,Male,YES,NO,136349.55,NO
Germany,Female,YES,YES,52693.99,NO
Germany,Male,NO,NO,93767.03,NO
Spain,Female,NO,YES,197866.55,NO
France,Male,YES,NO,126812.85,NO
Spain,Male,NO,NO,79503.05,NO
Germany,Female,YES,NO,129936.53,YES
Germany,Female,NO,NO,175094.62,NO
Germany,Male,YES,YES,130379.5,NO
France,Male,YES,NO,153228.0,NO
France,Female,YES,YES,111285.85,NO
France,Female,YES,NO,49553.38,YES
France,Female,YES,YES,98015.85,NO
France,Male,YES,NO,88481.32,NO
France,Female,YES,YES,66879.27,NO
Spain,Male,YES,YES,24802.77,NO
France,Male,YES,NO,21312.16,YES
Spain,Male,YES,YES,190263.78,NO
Spain,Female,YES,YES,72873.33,NO
Spain,Male,NO,YES,57764.65,NO
France,Male,YES,NO,110273.84,YES
Spain,Female,YES,NO,55500.17,NO
France,Male,YES,NO,57541.08,YES
Germany,Female,YES,YES,90384.26,NO
France,Female,NO,NO,120694.35,NO
France,Male,NO,YES,178028.96,NO
Germany,Female,YES,YES,180990.29,NO
Germany,Female,NO,YES,155407.21,YES
France,Male,YES,NO,33676.48,YES
Spain,Male,YES,NO,89666.28,NO
France,Male,YES,NO,127558.26,NO
France,Male,NO,YES,77272.62,NO
France,Male,NO,YES,107665.68,YES
Germany,Male,YES,NO,184044.8,YES
France,Male,YES,NO,91510.71,NO
France,Female,YES,YES,87363.56,NO
Germany,Male,YES,NO,117505.07,YES
France,Female,NO,NO,180626.68,NO
Spain,Male,NO,NO,93478.96,NO
France,Female,YES,YES,114672.64,NO
Germany,Female,YES,YES,13387.88,NO
France,Male,YES,NO,173240.52,NO
Spain,Female,NO,NO,27557.18,YES
France,Male,YES,YES,5552.37,NO
Germany,Male,NO,NO,88307.87,YES
France,Male,YES,NO,33879.26,YES
France,Male,YES,NO,181429.87,NO
France,Female,YES,NO,102655.31,NO
Spain,Male,YES,YES,96555.42,NO
Germany,Female,YES,NO,189366.03,NO
France,Male,YES,NO,12847.61,YES
Germany,Male,YES,NO,143433.33,NO
France,Female,YES,NO,183983.82,NO
Spain,Male,NO,NO,169137.24,NO
France,Female,YES,YES,163365.85,YES
Spain,Female,YES,NO,123181.44,YES
France,Female,YES,YES,16447.6,YES
France,Male,NO,YES,173948.4,NO
Germany,Female,YES,YES,192154.66,NO
France,Female,YES,NO,198224.38,NO
France,Male,YES,NO,67202.74,NO
Spain,Male,YES,NO,68789.93,NO
France,Female,NO,YES,147964.99,YES
France,Female,YES,YES,161069.73,NO
France,Female,YES,YES,127749.61,NO
Germany,Female,YES,NO,191914.37,NO
France,Male,YES,YES,185791.9,NO
Germany,Female,NO,NO,184570.04,YES
France,Female,NO,YES,130446.65,NO
France,Male,YES,YES,82867.55,NO
France,Female,YES,YES,187632.22,NO
Spain,Female,YES,NO,56759.79,NO
France,Female,YES,NO,34180.33,NO
France,Female,YES,YES,158545.25,NO
France,Female,YES,NO,182337.98,NO
France,Female,YES,YES,84175.34,NO
Germany,Male,NO,YES,22197.8,YES
Spain,Female,YES,NO,189641.11,NO
Germany,Female,YES,NO,154491.39,NO
Spain,Female,YES,NO,90020.74,NO
Germany,Male,YES,NO,197264.35,NO
France,Male,YES,YES,31933.06,NO
Germany,Male,YES,NO,8755.69,YES
France,Male,YES,YES,52820.13,NO
Spain,Male,YES,YES,20008.46,NO
France,Female,YES,YES,34607.14,YES
Germany,Male,YES,NO,177384.45,NO
France,Female,YES,YES,165702.64,NO
France,Female,YES,NO,167889.1,NO
France,Female,YES,YES,133122.62,NO
France,Female,NO,YES,140454.14,NO
France,Female,YES,YES,59938.81,NO
Spain,Male,YES,NO,12016.79,NO
Spain,Male,YES,YES,81251.24,NO
France,Female,YES,NO,134169.85,NO
France,Male,YES,YES,94888.6,NO
Spain,Female,YES,YES,175696.16,YES
France,Female,NO,YES,96758.58,NO
France,Male,YES,NO,128019.48,YES
France,Male,YES,YES,146895.36,YES
France,Female,YES,YES,139356.3,NO
France,Male,NO,NO,2923.61,NO
France,Male,NO,YES,121232.51,NO
France,Male,YES,YES,2053.42,NO
France,Female,YES,YES,6382.46,NO
Spain,Female,YES,NO,158750.13,NO
Spain,Male,NO,YES,74028.36,NO
France,Female,YES,YES,44099.75,NO
Germany,Male,NO,YES,17323.0,YES
Spain,Male,YES,YES,175043.69,NO
France,Female,YES,NO,146388.85,YES
France,Female,NO,NO,2465.8,NO
France,Male,YES,YES,47799.15,NO
France,Male,NO,NO,165562.84,NO
France,Male,NO,NO,72927.68,NO
Germany,Female,YES,NO,38270.47,NO
France,Male,NO,NO,120893.07,NO
Spain,Female,YES,NO,188377.21,NO
Spain,Male,YES,NO,55902.93,NO
Spain,Male,NO,NO,4523.74,YES
Spain,Female,YES,YES,102195.16,NO
Spain,Female,YES,NO,60843.09,YES
Germany,Male,YES,YES,25548.47,NO
France,Female,NO,YES,134462.29,NO
Germany,Male,YES,YES,132702.64,NO
France,Male,NO,NO,75698.44,NO
Germany,Male,YES,NO,105642.43,NO
France,Female,YES,NO,102153.75,NO
France,Male,NO,YES,166677.54,NO
France,Male,NO,NO,24218.65,NO
France,Male,NO,NO,117122.5,NO
Germany,Female,YES,NO,51871.95,YES
Spain,Male,NO,YES,84321.03,NO
Germany,Female,YES,NO,160213.27,NO
France,Male,YES,YES,88695.19,NO
France,Female,YES,YES,6123.15,NO
France,Female,NO,YES,167749.54,NO
Germany,Male,YES,YES,71638.0,NO
Germany,Male,YES,YES,198064.52,NO
Germany,Male,NO,YES,54914.92,NO
Germany,Female,NO,NO,190659.17,YES
Spain,Male,YES,YES,51637.67,NO
France,Male,YES,YES,119333.38,NO
Germany,Female,NO,NO,127095.14,NO
France,Female,NO,NO,93541.14,NO
Germany,Male,YES,NO,89289.54,NO
France,Male,NO,NO,108762.16,NO
Spain,Female,YES,YES,28238.25,YES
Germany,Female,YES,YES,34130.43,NO
Germany,Male,NO,YES,7926.35,YES
France,Male,YES,YES,27330.27,NO
France,Female,YES,YES,79997.14,NO
Spain,Female,YES,NO,50213.81,YES
Germany,Female,NO,YES,60920.03,YES
France,Female,NO,YES,197699.8,YES
France,Male,YES,NO,92809.73,NO
Spain,Male,NO,YES,163516.16,NO
France,Female,YES,YES,62449.07,YES
Germany,Female,YES,YES,115800.1,YES
Germany,Female,YES,YES,110359.68,YES
Germany,Male,YES,YES,78695.68,NO
Spain,Female,YES,YES,128378.04,NO
Spain,Female,YES,NO,155248.62,NO
France,Male,YES,NO,123499.27,NO
Germany,Female,YES,YES,99920.41,NO
Germany,Male,NO,YES,53289.49,NO
France,Female,YES,YES,67622.34,NO
France,Male,YES,YES,11783.1,YES
Spain,Male,YES,NO,62402.38,NO
Germany,Male,YES,YES,186235.98,NO
Germany,Male,YES,YES,79005.95,NO
Spain,Female,YES,NO,144870.28,YES
France,Female,YES,YES,95481.0,NO
France,Female,NO,NO,820.46,NO
Germany,Male,YES,YES,174777.98,NO
France,Male,YES,YES,8991.17,NO
France,Male,YES,YES,2797.27,NO
France,Female,YES,NO,22303.17,NO
France,Male,YES,YES,197562.08,NO
France,Male,YES,NO,23067.97,NO
France,Male,NO,YES,190294.12,NO
France,Female,YES,NO,113167.17,YES
France,Male,YES,YES,124777.14,NO
France,Female,YES,NO,124625.08,NO
France,Female,YES,YES,49599.27,NO
France,Female,YES,YES,151411.5,NO
France,Female,YES,NO,122964.18,NO
France,Male,YES,YES,57088.97,NO
Spain,Female,YES,NO,7820.78,NO
France,Male,YES,NO,149188.41,NO
Germany,Female,YES,YES,134638.97,NO
Germany,Female,NO,NO,184980.23,YES
Germany,Male,NO,NO,122373.42,NO
France,Female,NO,NO,80215.2,NO
Germany,Male,YES,YES,14081.64,NO
France,Male,YES,NO,199390.45,NO
France,Female,YES,YES,7667.48,NO
Spain,Male,NO,NO,74965.61,YES
France,Male,NO,NO,30583.95,NO
France,Female,NO,NO,149682.78,NO
France,Female,YES,NO,92664.09,NO
France,Female,YES,YES,138423.1,NO
France,Male,YES,YES,3148.2,NO
France,Female,YES,NO,197933.5,NO
Germany,Male,YES,YES,37341.17,NO
Spain,Male,YES,YES,79577.4,NO
Spain,Male,NO,NO,197602.29,NO
Germany,Male,YES,YES,87537.32,NO
Spain,Male,NO,NO,41623.59,NO
France,Male,YES,NO,168280.95,NO
France,Female,NO,NO,125986.18,NO
Germany,Female,NO,NO,548.52,YES
France,Male,YES,YES,96088.54,NO
France,Male,NO,NO,107787.42,NO
France,Male,YES,NO,20510.79,NO
Germany,Female,YES,NO,192026.02,NO
France,Male,YES,YES,118188.15,NO
Germany,Female,YES,YES,189540.95,NO
France,Male,YES,YES,63736.17,NO
France,Female,NO,NO,95740.37,NO
