Geography,Gender,Age,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited
France,Male,69,93320.8,YES,YES,24489.44,NO
Germany,Male,38,63176.44,YES,YES,14466.08,NO
France,Male,33,139451.67,NO,NO,63142.12,NO
France,Female,52,49113.75,YES,NO,41858.43,NO
Germany,Male,32,123906.22,YES,YES,127443.82,YES
France,Female,40,0.0,YES,YES,84151.98,NO
France,Male,28,0.0,NO,NO,58595.64,NO
Germany,Female,52,131441.51,YES,NO,37240.11,YES
France,Male,56,0.0,YES,NO,114522.68,YES
France,Male,57,136325.48,YES,YES,72549.27,YES
Germany,Female,38,113150.44,YES,NO,176712.59,YES
Spain,Female,42,0.0,NO,NO,152855.96,NO
France,Female,33,0.0,YES,YES,73371.65,NO
Germany,Female,46,102785.16,YES,YES,70323.68,NO
Spain,Male,34,83264.28,NO,NO,9663.28,NO
Germany,Male,41,72252.64,YES,YES,142514.66,NO
Germany,Female,29,148051.52,YES,NO,118623.94,NO
France,Female,76,138489.66,YES,YES,68400.14,NO
France,Male,63,0.0,YES,YES,115291.86,NO
France,Male,32,111589.33,YES,YES,170382.99,NO
Germany,Female,39,122104.79,YES,NO,112946.67,YES
Germany,Male,32,96106.83,YES,YES,79812.77,NO
Germany,Male,42,115930.87,YES,NO,19862.78,NO
Germany,Female,37,124513.66,YES,NO,158610.89,NO
France,Female,54,0.0,YES,NO,191212.63,YES
Spain,Male,46,0.0,YES,NO,61931.21,NO
France,Male,33,0.0,YES,YES,58043.02,YES
Spain,Male,35,100988.39,YES,NO,22247.27,NO
France,Male,44,118577.24,YES,YES,31448.52,NO
Spain,Male,28,0.0,YES,NO,146875.86,NO
France,Male,27,0.0,YES,YES,116081.93,NO
France,Female,39,0.0,NO,YES,73669.94,YES
Spain,Female,28,0.0,YES,YES,93959.96,NO
Spain,Female,26,0.0,NO,YES,158918.03,NO
France,Female,42,113311.11,YES,YES,198193.75,NO
France,Female,41,0.0,NO,NO,13160.03,NO
France,Male,32,0.0,YES,NO,4660.91,NO
Germany,Male,20,124365.42,NO,NO,180197.74,YES
France,Male,42,147249.29,YES,YES,63023.02,NO
France,Male,36,103688.19,NO,YES,118971.74,NO
France,Female,29,138740.24,NO,NO,154700.61,NO
Spain,Male,39,111900.14,YES,YES,97577.17,NO
Spain,Female,37,152760.24,YES,YES,48990.5,NO
Germany,Male,31,143966.3,YES,YES,140262.96,YES
France,Male,51,141556.96,YES,NO,130189.53,NO
France,Female,43,0.0,YES,YES,16301.91,NO
France,Female,33,0.0,YES,NO,126962.41,NO
France,Female,46,0.0,YES,YES,158750.53,NO
France,Male,30,0.0,YES,NO,199644.2,NO
France,Female,41,0.0,YES,YES,144272.71,YES
France,Male,29,0.0,NO,YES,98320.27,NO
France,Male,25,162560.32,YES,NO,64129.03,NO
Germany,Female,29,123229.46,YES,NO,181221.09,NO
Spain,Male,31,76665.71,YES,YES,163809.08,NO
France,Male,38,140278.99,YES,YES,171457.06,YES
France,Female,51,0.0,NO,YES,15801.02,NO
France,Male,46,115764.32,NO,NO,102950.79,NO
Germany,Male,36,131142.53,YES,NO,174918.46,NO
France,Male,45,68375.27,YES,NO,193160.25,YES
Germany,Female,39,117833.3,NO,NO,5831.0,YES
Spain,Female,36,0.0,YES,YES,82298.59,NO
France,Male,34,0.0,NO,NO,130686.59,NO
France,Male,45,0.0,NO,YES,52885.23,YES
Spain,Male,30,111093.01,YES,NO,68985.99,NO
Spain,Male,42,132657.55,YES,NO,35367.19,NO
France,Female,56,128882.49,YES,YES,196241.94,YES
Germany,Male,59,69129.59,YES,YES,170705.53,NO
France,Male,37,0.0,YES,YES,126477.41,NO
France,Male,39,121404.64,YES,YES,159618.17,NO
Spain,Female,45,131355.3,YES,NO,195395.33,YES
France,Female,35,102097.33,NO,YES,168285.85,NO
France,Male,40,154863.15,YES,YES,138052.51,NO
Spain,Female,41,99945.93,YES,NO,71179.31,NO
Germany,Male,39,121704.32,YES,NO,55556.3,NO
Spain,Female,43,0.0,YES,NO,31705.19,NO
Germany,Male,35,138782.76,YES,YES,186118.93,NO
France,Male,35,0.0,YES,YES,195580.28,NO
France,Male,30,136291.71,YES,NO,54113.38,NO
Germany,Male,42,107856.57,YES,NO,127528.84,NO
Germany,Female,26,108348.66,NO,NO,60231.74,YES
France,Male,47,93871.95,YES,NO,156878.42,YES
Spain,Female,45,0.0,YES,NO,182784.11,YES
Germany,Male,19,125860.2,NO,NO,129690.5,NO
France,Male,49,172713.44,YES,NO,113860.81,NO
France,Female,51,0.0,NO,YES,184524.74,NO
Spain,Female,59,0.0,YES,YES,36124.98,NO
France,Female,39,130786.92,NO,YES,121316.07,NO
France,Female,29,112367.34,YES,NO,185630.76,NO
Spain,Female,45,91091.06,YES,NO,71133.12,NO
France,Female,26,106198.5,NO,YES,32020.42,NO
France,Male,47,142669.93,YES,NO,162760.96,NO
France,Male,33,112833.35,NO,YES,175178.56,NO
France,Female,40,0.0,NO,YES,177099.71,NO
Spain,Female,43,0.0,YES,YES,66406.37,NO
Germany,Female,32,104336.43,NO,NO,59559.81,NO
France,Male,55,104305.74,NO,YES,175750.21,NO
Germany,Male,47,140187.1,YES,YES,174311.3,NO
France,Male,39,0.0,YES,NO,171716.81,NO
France,Female,45,114959.12,YES,NO,189362.39,YES
France,Male,33,164704.38,NO,YES,180716.1,YES
France,Male,62,119096.55,NO,YES,116977.89,NO
France,Male,31,0.0,YES,YES,185105.44,NO
France,Male,47,0.0,YES,NO,35046.97,YES
Spain,Male,30,0.0,YES,NO,36251.0,NO
France,Female,41,115465.28,YES,NO,103174.5,NO
France,Female,27,0.0,YES,NO,122642.09,NO
Spain,Male,43,184926.61,YES,NO,122937.57,NO
Germany,Male,43,85957.88,YES,NO,8757.39,NO
France,Male,32,114084.6,NO,YES,125782.29,NO
Spain,Female,29,166930.76,YES,NO,122487.73,NO
France,Female,27,0.0,YES,NO,20066.38,NO
France,Male,29,0.0,YES,YES,55473.15,NO
France,Female,38,107193.82,NO,NO,38962.94,NO
France,Male,36,116275.12,YES,YES,63795.8,NO
Spain,Female,27,0.0,YES,YES,163060.43,NO
France,Male,39,91068.56,YES,NO,26578.69,NO
Germany,Male,41,123049.21,NO,YES,5066.76,NO
France,Female,39,0.0,YES,YES,140497.67,NO
France,Male,40,0.0,NO,NO,146156.98,NO
France,Female,42,137781.65,NO,NO,199316.19,NO
Germany,Female,48,108128.96,YES,YES,103944.37,NO
Spain,Male,39,105317.73,YES,NO,138021.36,NO
France,Male,20,80569.73,NO,NO,68621.98,NO
France,Female,22,174852.89,YES,YES,28149.06,NO
Spain,Female,45,89158.94,YES,NO,135169.76,YES
France,Female,85,0.0,YES,YES,116537.96,NO
France,Male,36,89800.14,YES,YES,105922.69,NO
Germany,Male,45,101207.75,NO,NO,88211.12,YES
France,Male,43,106086.42,YES,NO,26900.63,NO
France,Male,21,0.0,YES,YES,3494.02,NO
France,Male,47,0.0,YES,NO,113163.17,NO
Spain,Female,26,101440.36,YES,YES,19324.5,NO
France,Male,38,0.0,YES,NO,189678.7,NO
France,Male,34,106603.74,YES,YES,26387.71,NO
Germany,Female,29,130420.2,NO,NO,106276.55,NO
France,Female,38,0.0,YES,NO,45015.38,NO
Spain,Male,29,45022.23,YES,YES,173495.77,NO
Germany,Male,27,74298.43,YES,YES,52581.96,NO
Germany,Female,31,133003.03,NO,YES,146339.27,YES
Spain,Male,48,0.0,YES,YES,182609.97,NO
Spain,Female,37,136689.66,YES,NO,197890.65,NO
France,Male,32,0.0,YES,YES,6225.63,NO
France,Female,44,0.0,YES,YES,123977.86,YES
France,Male,53,102520.37,YES,YES,170195.4,NO
France,Male,35,0.0,YES,YES,114190.3,NO
France,Female,34,0.0,YES,NO,27022.57,NO
Spain,Male,67,88382.01,NO,YES,59457.0,NO
France,Male,44,115049.15,YES,NO,165038.41,NO
France,Male,58,104796.54,YES,YES,154181.41,NO
France,Male,33,123082.08,YES,NO,134960.98,NO
Spain,Female,58,0.0,YES,YES,65708.5,NO
France,Female,33,0.0,NO,NO,117374.22,NO
France,Female,43,0.0,YES,YES,77703.19,NO
Germany,Male,33,88311.48,YES,YES,177651.38,NO
France,Female,40,0.0,YES,YES,60954.45,NO
France,Male,32,71872.19,YES,YES,151924.9,NO
Spain,Male,35,110046.93,YES,NO,26318.73,NO
France,Male,42,104430.08,YES,YES,147557.71,NO
France,Female,28,0.0,YES,NO,125918.17,NO
Germany,Male,31,138653.51,YES,NO,190803.37,NO
France,Female,31,102575.04,YES,YES,11043.54,NO
France,Male,43,137780.74,YES,YES,119100.05,YES
Spain,Male,32,0.0,YES,NO,140579.17,NO
France,Male,32,0.0,NO,YES,37731.95,NO
France,Female,30,105209.54,YES,NO,1852.58,NO
Germany,Female,32,109570.21,YES,YES,172049.84,NO
Germany,Female,44,118715.86,YES,NO,133591.11,YES
France,Male,35,0.0,YES,YES,192751.18,NO
Germany,Female,43,153393.18,YES,YES,193828.27,NO
Germany,Male,33,132603.36,YES,NO,55775.72,NO
Spain,Female,36,0.0,YES,YES,102280.29,NO
Germany,Female,34,129398.01,NO,NO,44965.44,NO
Spain,Male,28,0.0,YES,NO,170661.02,NO
France,Male,29,151352.74,NO,NO,197145.89,NO
France,Female,44,136836.49,YES,NO,192359.9,YES
France,Male,40,91592.06,YES,NO,141210.18,YES
France,Female,30,0.0,YES,NO,100557.03,NO
France,Female,54,0.0,YES,NO,130805.54,YES
France,Female,22,0.0,YES,YES,92606.98,NO
France,Male,36,165536.28,YES,YES,123956.83,NO
Germany,Male,25,62482.95,YES,YES,102758.43,NO
France,Male,40,68155.59,YES,NO,94876.65,NO
Spain,Female,43,55853.33,NO,YES,94811.85,YES
France,Male,37,0.0,NO,YES,67840.81,NO
France,Female,31,79589.43,NO,NO,4050.57,NO
Spain,Male,41,100880.76,NO,YES,134665.25,NO
Germany,Female,25,174330.35,NO,NO,181647.13,NO
France,Male,19,143390.51,YES,NO,33282.84,NO
Germany,Male,59,91415.76,NO,NO,27965.0,YES
Germany,Male,30,134366.42,YES,NO,68343.53,NO
France,Female,24,0.0,YES,YES,198161.07,NO
Spain,Male,60,88786.81,YES,YES,196858.4,NO
Germany,Male,35,96814.46,YES,YES,120511.03,NO
Germany,Male,32,160680.41,YES,NO,30886.35,NO
France,Female,29,0.0,YES,NO,2743.69,NO
France,Female,47,0.0,YES,NO,167778.62,NO
Germany,Male,31,145537.21,YES,NO,132404.64,NO
France,Female,28,0.0,YES,YES,144423.17,YES
France,Female,45,0.0,YES,YES,181204.5,NO
Spain,Female,30,119370.11,YES,YES,182726.22,YES
Spain,Female,28,0.0,YES,YES,120880.72,NO
Germany,Female,47,134381.52,NO,NO,26812.89,YES
Germany,Female,74,114888.74,YES,YES,66732.63,YES
Germany,Male,42,149332.48,YES,NO,100834.22,NO
France,Female,40,105061.74,YES,NO,107815.31,YES
France,Male,32,0.0,YES,YES,34665.79,NO
France,Female,40,0.0,YES,YES,147093.84,YES
France,Male,21,0.0,YES,YES,36942.35,NO
France,Female,39,155062.8,YES,YES,16460.77,NO
Spain,Male,43,88798.34,NO,NO,45610.63,NO
France,Male,33,0.0,YES,NO,184954.11,NO
Germany,Female,51,143139.87,NO,NO,47795.43,YES
Spain,Female,23,0.0,YES,NO,196789.9,NO
Germany,Male,27,107027.52,YES,NO,173425.68,NO
France,Male,29,140720.93,YES,NO,36221.18,NO
France,Male,30,80964.57,YES,NO,174738.2,NO
France,Male,39,178585.46,YES,NO,67131.3,YES
Spain,Female,26,135889.13,YES,YES,165692.03,NO
France,Male,43,134919.85,YES,NO,194691.95,NO
Germany,Male,33,115130.34,NO,NO,129525.5,YES
Spain,Female,34,138190.13,NO,YES,146511.2,NO
Germany,Male,37,131519.49,YES,YES,51752.18,NO
Spain,Female,56,0.0,YES,NO,35418.69,YES
Germany,Female,39,126935.98,NO,YES,57995.74,NO
France,Male,39,133707.09,YES,YES,108152.75,NO
France,Female,27,97893.2,YES,NO,166144.98,NO
France,Male,34,127900.03,YES,NO,101737.8,NO
France,Male,37,143835.47,NO,YES,33326.71,NO
France,Male,44,0.0,YES,YES,81140.09,NO
France,Male,48,0.0,YES,NO,140173.17,YES
France,Male,60,0.0,YES,YES,166513.49,YES
France,Female,40,129596.77,YES,YES,103232.6,NO
Spain,Male,30,0.0,YES,NO,120736.04,NO
Germany,Female,24,110407.44,NO,NO,15832.43,YES
France,Female,76,0.0,NO,YES,188772.45,NO
Germany,Female,41,142015.76,YES,NO,114323.66,NO
Spain,Male,55,81370.07,NO,YES,181534.04,NO
Germany,Female,48,69329.47,NO,NO,102640.52,YES
France,Female,28,116755.5,YES,YES,158585.17,YES
Spain,Male,44,83870.33,YES,NO,178722.24,NO
France,Female,39,130694.89,YES,YES,153955.38,YES
Spain,Female,34,117451.47,YES,NO,65374.86,NO
Germany,Female,35,206868.78,NO,YES,102986.15,NO
France,Female,39,111695.62,NO,NO,136643.84,NO
France,Female,40,137285.26,YES,NO,77063.63,YES
France,Female,29,149218.39,YES,YES,9633.01,NO
France,Male,51,0.0,NO,YES,43496.36,NO
Spain,Male,32,0.0,YES,YES,24267.28,NO
Germany,Female,41,130701.29,YES,NO,59354.24,YES
Spain,Male,34,0.0,NO,NO,28269.86,NO
France,Female,31,167949.48,YES,NO,143162.34,NO
France,Male,23,131254.81,YES,NO,20199.3,NO
France,Male,28,0.0,YES,YES,48606.92,NO
Spain,Male,34,0.0,NO,YES,89013.67,NO
Spain,Male,34,86656.13,NO,YES,59890.29,NO
Germany,Female,37,114737.26,YES,YES,106655.88,YES
France,Female,38,0.0,YES,NO,156439.56,NO
France,Female,39,0.0,YES,NO,24176.44,NO
Germany,Male,62,119817.33,NO,YES,43507.1,YES
France,Female,48,130806.99,YES,YES,132005.85,YES
France,Female,49,0.0,YES,YES,80496.71,YES
Spain,Male,40,0.0,YES,NO,88947.56,NO
Germany,Female,35,80931.75,NO,NO,12639.67,YES
France,Female,56,0.0,YES,YES,94248.16,YES
Germany,Male,32,132178.67,NO,NO,11865.76,NO
France,Female,27,0.0,YES,NO,141449.86,NO
Spain,Male,43,0.0,YES,YES,149457.81,NO
France,Female,35,164769.02,YES,NO,119814.25,YES
Germany,Male,29,107233.85,YES,NO,24924.92,NO
France,Female,27,176227.07,NO,YES,139481.53,NO
France,Female,39,109949.39,YES,YES,41268.65,NO
France,Female,34,0.0,YES,YES,1351.41,NO
France,Female,60,117738.81,YES,NO,147489.76,YES
Spain,Female,37,133292.45,YES,NO,111175.09,NO
France,Female,43,160474.59,YES,YES,95963.14,NO
France,Male,43,0.0,YES,NO,43128.95,NO
Germany,Male,55,154393.43,YES,YES,137674.96,YES
Germany,Female,45,110827.49,YES,YES,153383.54,YES
Germany,Female,36,145750.45,YES,YES,96660.76,NO
Spain,Female,45,109044.3,NO,YES,115818.16,NO
France,Female,32,75170.54,YES,YES,37898.5,NO
France,Female,42,0.0,YES,NO,145222.93,NO
France,Female,28,105795.9,YES,YES,41219.09,NO
France,Male,32,0.0,YES,NO,59249.83,NO
Spain,Male,66,0.0,YES,YES,116747.62,NO
France,Female,49,0.0,YES,NO,116249.72,YES
France,Female,26,118097.87,YES,NO,61257.83,NO
Germany,Male,29,172693.54,NO,NO,141798.98,NO
France,Male,36,129440.3,YES,NO,102638.35,NO
Spain,Male,36,0.0,NO,NO,13210.56,NO
France,Male,23,96471.2,YES,NO,35550.97,NO
France,Female,46,0.0,YES,YES,104469.06,YES
Spain,Male,24,140197.18,YES,YES,142935.83,NO
France,Male,20,0.0,YES,NO,195486.28,NO
France,Female,33,135946.26,YES,NO,63170.0,NO
France,Male,69,0.0,YES,YES,58320.06,NO
Germany,Male,50,81290.02,NO,YES,177747.03,YES
France,Female,42,0.0,YES,NO,19632.64,YES
Germany,Male,60,113715.36,YES,NO,18424.24,YES
Spain,Male,56,168883.08,NO,YES,18897.78,NO
Germany,Male,36,143421.74,YES,NO,97879.02,NO
France,Male,26,153644.39,YES,YES,63197.88,NO
Spain,Female,53,109330.06,YES,YES,75860.01,NO
Germany,Female,27,115095.88,NO,NO,78622.46,NO
France,Male,35,0.0,YES,YES,23598.23,YES
Spain,Male,46,183276.32,YES,YES,13460.27,NO
France,Male,33,68193.72,YES,NO,19998.31,NO
France,Female,32,0.0,NO,NO,185075.63,NO
Germany,Male,31,139729.54,NO,YES,135815.38,NO
Spain,Female,56,98365.33,YES,YES,44251.33,NO
France,Male,36,0.0,YES,NO,136349.55,NO
Germany,Female,37,122453.97,YES,YES,52693.99,NO
Germany,Male,30,132174.41,NO,NO,93767.03,NO
Spain,Female,24,0.0,NO,YES,197866.55,NO
France,Male,30,0.0,YES,NO,126812.85,NO
Spain,Male,39,104349.45,NO,NO,79503.05,NO
Germany,Female,41,138881.04,YES,NO,129936.53,YES
Germany,Female,32,116968.91,NO,NO,175094.62,NO
Germany,Male,35,105346.03,YES,YES,130379.5,NO
France,Male,26,136623.19,YES,NO,153228.0,NO
France,Female,29,0.0,YES,YES,111285.85,NO
France,Female,66,0.0,YES,NO,49553.38,YES
France,Female,33,0.0,YES,YES,98015.85,NO
France,Male,36,124445.52,YES,NO,88481.32,NO
France,Female,34,68999.66,YES,YES,66879.27,NO
Spain,Male,36,85768.42,YES,YES,24802.77,NO
France,Male,47,0.0,YES,NO,21312.16,YES
Spain,Male,34,100628.0,YES,YES,190263.78,NO
Spain,Female,32,0.0,YES,YES,72873.33,NO
Spain,Male,38,0.0,NO,YES,57764.65,NO
France,Male,54,0.0,YES,NO,110273.84,YES
Spain,Female,19,0.0,YES,NO,55500.17,NO
France,Male,50,125647.36,YES,NO,57541.08,YES
Germany,Female,31,100375.39,YES,YES,90384.26,NO
France,Female,36,0.0,NO,NO,120694.35,NO
France,Male,24,171922.72,NO,YES,178028.96,NO
Germany,Female,32,146810.99,YES,YES,180990.29,NO
Germany,Female,45,109032.23,NO,YES,155407.21,YES
France,Male,57,0.0,YES,NO,33676.48,YES
Spain,Male,25,0.0,YES,NO,89666.28,NO
France,Male,35,128653.59,YES,NO,127558.26,NO
France,Male,37,80387.81,NO,YES,77272.62,NO
France,Male,58,0.0,NO,YES,107665.68,YES
Germany,Male,43,108508.82,YES,NO,184044.8,YES
France,Male,31,155978.17,YES,NO,91510.71,NO
France,Female,38,0.0,YES,YES,87363.56,NO
Germany,Male,50,121175.56,YES,NO,117505.07,YES
France,Female,29,89349.47,NO,NO,180626.68,NO
Spain,Male,38,86131.71,NO,NO,93478.96,NO
France,Female,58,102346.86,YES,YES,114672.64,NO
Germany,Female,36,121263.62,YES,YES,13387.88,NO
France,Male,31,0.0,YES,NO,173240.52,NO
Spain,Female,33,0.0,NO,NO,27557.18,YES
France,Male,51,0.0,YES,YES,5552.37,NO
Germany,Male,48,149726.08,NO,NO,88307.87,YES
France,Male,43,0.0,YES,NO,33879.26,YES
France,Male,35,161274.05,YES,NO,181429.87,NO
France,Female,33,0.0,YES,NO,102655.31,NO
Spain,Male,30,103138.17,YES,YES,96555.42,NO
Germany,Female,40,109628.44,YES,NO,189366.03,NO
France,Male,54,0.0,YES,NO,12847.61,YES
Germany,Male,33,97286.16,YES,NO,143433.33,NO
France,Female,33,118004.26,YES,NO,183983.82,NO
Spain,Male,32,85534.83,NO,NO,169137.24,NO
France,Female,59,0.0,YES,YES,163365.85,YES
Spain,Female,43,95140.44,YES,NO,123181.44,YES
France,Female,31,0.0,YES,YES,16447.6,YES
France,Male,25,0.0,NO,YES,173948.4,NO
Germany,Female,54,75900.84,YES,YES,192154.66,NO
France,Female,41,126619.27,YES,NO,198224.38,NO
France,Male,44,111833.47,YES,NO,67202.74,NO
Spain,Male,37,0.0,YES,NO,68789.93,NO
France,Female,57,238387.56,NO,YES,147964.99,YES
France,Female,32,108698.96,YES,YES,161069.73,NO
France,Female,39,112687.69,YES,YES,127749.61,NO
Germany,Female,48,81556.89,YES,NO,191914.37,NO
France,Male,48,136596.85,YES,YES,185791.9,NO
Germany,Female,43,98807.45,NO,NO,184570.04,YES
France,Female,31,0.0,NO,YES,130446.65,NO
France,Male,37,0.0,YES,YES,82867.55,NO
France,Female,30,107499.7,YES,YES,187632.22,NO
Spain,Female,23,0.0,YES,NO,56759.79,NO
France,Female,30,0.0,YES,NO,34180.33,NO
France,Female,28,0.0,YES,YES,158545.25,NO
France,Female,41,176024.05,YES,NO,182337.98,NO
France,Female,39,0.0,YES,YES,84175.34,NO
Germany,Male,39,127631.62,NO,YES,22197.8,YES
Spain,Female,19,0.0,YES,NO,189641.11,NO
Germany,Female,26,109819.16,YES,NO,154491.39,NO
Spain,Female,41,138734.94,YES,NO,90020.74,NO
Germany,Male,25,111363.1,YES,NO,197264.35,NO
France,Male,34,0.0,YES,YES,31933.06,NO
Germany,Male,28,143988.0,YES,NO,8755.69,YES
France,Male,34,118838.75,YES,YES,52820.13,NO
Spain,Male,35,161637.75,YES,YES,20008.46,NO
France,Female,44,133793.89,YES,YES,34607.14,YES
Germany,Male,35,71553.83,YES,NO,177384.45,NO
France,Female,62,0.0,YES,YES,165702.64,NO
France,Female,40,0.0,YES,NO,167889.1,NO
France,Female,38,0.0,YES,YES,133122.62,NO
France,Female,62,64667.95,NO,YES,140454.14,NO
France,Female,28,121164.11,YES,YES,59938.81,NO
Spain,Male,50,0.0,YES,NO,12016.79,NO
Spain,Male,72,98903.06,YES,YES,81251.24,NO
France,Female,31,104158.84,YES,NO,134169.85,NO
France,Male,54,0.0,YES,YES,94888.6,NO
Spain,Female,63,139529.93,YES,YES,175696.16,YES
France,Female,25,0.0,NO,YES,96758.58,NO
France,Male,53,64646.7,YES,NO,128019.48,YES
France,Male,71,0.0,YES,YES,146895.36,YES
France,Female,40,0.0,YES,YES,139356.3,NO
France,Male,35,118894.22,NO,NO,2923.61,NO
France,Male,24,0.0,NO,YES,121232.51,NO
France,Male,30,0.0,YES,YES,2053.42,NO
France,Female,41,68213.99,YES,YES,6382.46,NO
Spain,Female,31,0.0,YES,NO,158750.13,NO
Spain,Male,47,139196.0,NO,YES,74028.36,NO
France,Female,32,0.0,YES,YES,44099.75,NO
Germany,Male,50,126345.55,NO,YES,17323.0,YES
Spain,Male,40,0.0,YES,YES,175043.69,NO
France,Female,38,0.0,YES,NO,146388.85,YES
France,Female,43,0.0,NO,NO,2465.8,NO
France,Male,18,0.0,YES,YES,47799.15,NO
France,Male,34,129278.43,NO,NO,165562.84,NO
France,Male,31,119558.35,NO,NO,72927.68,NO
Germany,Female,41,92467.58,YES,NO,38270.47,NO
France,Male,27,0.0,NO,NO,120893.07,NO
Spain,Female,31,0.0,YES,NO,188377.21,NO
Spain,Male,36,0.0,YES,NO,55902.93,NO
Spain,Male,56,99340.83,NO,NO,4523.74,YES
Spain,Female,24,0.0,YES,YES,102195.16,NO
Spain,Female,28,126833.79,YES,NO,60843.09,YES
Germany,Male,29,109676.52,YES,YES,25548.47,NO
France,Female,29,0.0,NO,YES,134462.29,NO
Germany,Male,53,134729.99,YES,YES,132702.64,NO
France,Male,37,98431.37,NO,NO,75698.44,NO
Germany,Male,33,130368.31,YES,NO,105642.43,NO
France,Female,31,123974.96,YES,NO,102153.75,NO
France,Male,63,138082.16,NO,YES,166677.54,NO
France,Male,45,129855.32,NO,NO,24218.65,NO
France,Male,40,132308.22,NO,NO,117122.5,NO
Germany,Female,45,155447.65,YES,NO,51871.95,YES
Spain,Male,35,124268.64,NO,YES,84321.03,NO
Germany,Female,34,176311.36,YES,NO,160213.27,NO
France,Male,40,99886.42,YES,YES,88695.19,NO
France,Female,31,0.0,YES,YES,6123.15,NO
France,Female,36,0.0,NO,YES,167749.54,NO
Germany,Male,24,85089.3,YES,YES,71638.0,NO
Germany,Male,41,134318.21,YES,YES,198064.52,NO
Germany,Male,29,75395.53,NO,YES,54914.92,NO
Germany,Female,33,116765.7,NO,NO,190659.17,YES
Spain,Male,60,0.0,YES,YES,51637.67,NO
France,Male,38,111501.66,YES,YES,119333.38,NO
Germany,Female,48,76595.08,NO,NO,127095.14,NO
France,Female,33,160541.36,NO,NO,93541.14,NO
Germany,Male,38,129728.6,YES,NO,89289.54,NO
France,Male,47,0.0,NO,NO,108762.16,NO
Spain,Female,34,130929.02,YES,YES,28238.25,YES
Germany,Female,74,116800.25,YES,YES,34130.43,NO
Germany,Male,40,101016.53,NO,YES,7926.35,YES
France,Male,67,0.0,YES,YES,27330.27,NO
France,Female,33,190566.65,YES,YES,79997.14,NO
Spain,Female,47,0.0,YES,NO,50213.81,YES
Germany,Female,43,97067.69,NO,YES,60920.03,YES
France,Female,37,92208.54,NO,YES,197699.8,YES
France,Male,37,186347.97,YES,NO,92809.73,NO
Spain,Male,55,103176.62,NO,YES,163516.16,NO
France,Female,58,0.0,YES,YES,62449.07,YES
Germany,Female,40,77270.08,YES,YES,115800.1,YES
Germany,Female,37,111911.63,YES,YES,110359.68,YES
Germany,Male,72,94216.05,YES,YES,78695.68,NO
Spain,Female,45,0.0,YES,YES,128378.04,NO
Spain,Female,26,0.0,YES,NO,155248.62,NO
France,Male,49,106770.82,YES,NO,123499.27,NO
Germany,Female,72,138089.97,YES,YES,99920.41,NO
Germany,Male,39,133191.19,NO,YES,53289.49,NO
France,Female,66,0.0,YES,YES,67622.34,NO
France,Male,41,74135.85,YES,YES,11783.1,YES
Spain,Male,41,99208.46,YES,NO,62402.38,NO
Germany,Male,84,92242.34,YES,YES,186235.98,NO
Germany,Male,25,108380.72,YES,YES,79005.95,NO
Spain,Female,55,91893.32,YES,NO,144870.28,YES
France,Female,32,85757.93,YES,YES,95481.0,NO
France,Female,46,0.0,NO,NO,820.46,NO
Germany,Male,33,96759.42,YES,YES,174777.98,NO
France,Male,30,0.0,YES,YES,8991.17,NO
France,Male,29,0.0,YES,YES,2797.27,NO
France,Female,22,0.0,YES,NO,22303.17,NO
France,Male,71,0.0,YES,YES,197562.08,NO
France,Male,33,132150.26,YES,NO,23067.97,NO
France,Male,41,0.0,NO,YES,190294.12,NO
France,Female,31,175443.75,YES,NO,113167.17,YES
France,Male,31,78990.15,YES,YES,124777.14,NO
France,Female,33,113743.37,YES,NO,124625.08,NO
France,Female,26,157624.84,YES,YES,49599.27,NO
France,Female,62,125163.62,YES,YES,151411.5,NO
France,Female,23,0.0,YES,NO,122964.18,NO
France,Male,60,0.0,YES,YES,57088.97,NO
Spain,Female,29,80922.75,YES,NO,7820.78,NO
France,Male,40,193354.86,YES,NO,149188.41,NO
Germany,Female,40,107648.94,YES,YES,134638.97,NO
Germany,Female,46,131769.04,NO,NO,184980.23,YES
Germany,Male,36,138992.48,NO,NO,122373.42,NO
France,Female,37,113899.92,NO,NO,80215.2,NO
Germany,Male,26,114450.32,YES,YES,14081.64,NO
France,Male,39,0.0,YES,NO,199390.45,NO
France,Female,37,0.0,YES,YES,7667.48,NO
Spain,Male,40,63609.92,NO,NO,74965.61,YES
France,Male,38,0.0,NO,NO,30583.95,NO
France,Female,42,75497.51,NO,NO,149682.78,NO
France,Female,42,0.0,YES,NO,92664.09,NO
France,Female,26,0.0,YES,YES,138423.1,NO
France,Male,31,0.0,YES,YES,3148.2,NO
France,Female,39,117704.73,YES,NO,197933.5,NO
Germany,Male,35,130463.55,YES,YES,37341.17,NO
Spain,Male,32,46161.18,YES,YES,79577.4,NO
Spain,Male,42,0.0,NO,NO,197602.29,NO
Germany,Male,43,110182.54,YES,YES,87537.32,NO
Spain,Male,49,0.0,NO,NO,41623.59,NO
France,Male,41,117221.15,YES,NO,168280.95,NO
France,Female,35,0.0,NO,NO,125986.18,NO
Germany,Female,43,79120.27,NO,NO,548.52,YES
France,Male,37,177069.24,YES,YES,96088.54,NO
France,Male,36,61636.97,NO,NO,107787.42,NO
France,Male,26,0.0,YES,NO,20510.79,NO
Germany,Female,37,104414.03,YES,NO,192026.02,NO
